mes_dia,media_notificacoes_dia,notificacoes_dia,regiao,r2,mae,mape,msd,mse,rmse,ano_inicio,ano_fim,ano,chave,limiar_pre_epidemico,intensidade_alta,intensidade_muito_alta
4-19,68,264,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-20,75,312,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-21,77,261,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-22,79,268,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-23,82,296,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-24,81,295,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-25,85,317,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-26,84,265,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-27,79,263,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-28,76,317,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-29,76,287,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-30,77,317,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-1,79,272,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-2,76,313,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-3,78,325,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-4,81,269,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-5,84,339,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-6,87,319,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-7,88,350,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-8,85,336,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-9,85,317,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-10,88,296,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-11,86,319,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-12,87,337,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
5-13,86,345,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
