"mes_dia","media_notificacoes_dia","data","real","predito","regiao","r2","mae","mape","msd","mse","rmse","ano_inicio","ano_fim","chave"
"3-1",24,"2020-03-04",57,47,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-2",25,"2020-03-05",59,49,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-3",26,"2020-03-06",63,65,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-4",27,"2020-03-07",69,65,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-5",29,"2020-03-08",72,91,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-6",29,"2020-03-09",86,72,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-7",28,"2020-03-10",104,103,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-8",25,"2020-03-11",117,85,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-9",26,"2020-03-12",141,97,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-10",28,"2020-03-13",168,93,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-11",28,"2020-03-14",195,77,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-12",26,"2020-03-15",236,99,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-13",27,"2020-03-16",276,112,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-14",28,"2020-03-17",311,94,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-15",28,"2020-03-18",365,144,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-16",29,"2020-03-19",401,140,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-17",28,"2020-03-20",451,156,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"3-18",29,"2020-03-21",484,148,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
